dataset,channel,temp_C,cycle,weeks,type,date,file_path,pattern_chunks
main_cell,ch2,25,400,,DCIR후충전,2022-10-19,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_10_19_에기연 열화셀_25deg_400cycle_DCIR 후 충전_ch2_M01Ch002(002).csv,
main_cell,ch2,25,500,,DCIR후충전,2022-10-27,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_10_27_에기연 열화셀_25deg_500cycle_DCIR후 충전_ch2_M01Ch002(002).csv,
main_cell,ch2,25,600,,DCIR후충전,2022-11-02,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_11_02_에기연 열화셀_25deg_600cycle_DCIR후 충전_ch2_M01Ch002(002).csv,
main_cell,ch2,25,700,,DCIR후충전,2022-11-09,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_11_09_에기연 열화셀_25deg_700cycle_DCIR후 충전_ch2_M01Ch002(002).csv,
main_cell,ch2,25,800,,DCIR후충전,2022-11-16,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_11_16_에기연 열화셀_25deg_800cycle_DCIR후 충전_ch2_M01Ch002(002).csv,
main_cell,ch2,25,900,,DCIR후충전,2022-11-23,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_11_23_에기연 열화셀_25deg_900cycle_DCIR 후 충전_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1000,,DCIR후충전,2022-11-29,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_11_29_에기연 열화셀_25deg_1000cycle_DCIR후 충전_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1100,,DCIR후충전,2022-12-09,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_12_09_에기연 열화셀_25deg_1100cycle_DCIR후 충전_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1200,,DCIR후충전,2022-12-21,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_12_21_에기연 열화셀_25deg_1200cycle_DCIR후 충전_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1300,,DCIR후충전,2023-01-05,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\23_01_05_에기연 열화셀_25deg_1300cycle_DCIR후 충전_ch2_M01Ch002(002).csv,
